,Attributes,DataTypes,Count,Unique,Duplicates,Frequency,IsNull,IsNotNull,PercentageNull,Entire_Upper,Entire_Lower,WithSpaces,WithoutSpaces,Min Words,Max Words,Min Length,Max Length,Total Character count,Average Character count,Trailing White Space,Entire White Space,Percentage Entire White Space,Percentage Numeric,Percentage AlphaNumeric,SpecialCharacters
0,Unnamed: 0,int64,209,209,0,0,0,209,0,0,0,0,209,1,1,1,3,517,2.473684210526316,0,0,0.0,100.0,100.0,0
1,cust_id,float64,199,199,0,0,10,199,0,0,10,0,209,1,1,3,6,1224,5.856459330143541,0,0,0.0,100.0,4.784688995215311,0
2,first_name,object,199,198,1,0,10,199,0,0,10,0,209,1,1,2,10,1229,5.880382775119617,0,0,0.0,4.784688995215311,100.0,0
3,last_name,object,199,199,0,0,10,199,0,0,10,0,209,1,1,3,13,1366,6.535885167464115,0,0,0.0,4.784688995215311,100.0,0
4,zip,float64,199,190,9,0,10,199,0,0,10,0,209,1,1,3,7,1392,6.660287081339713,0,0,0.0,100.0,4.784688995215311,0
5,phone1,object,199,199,0,0,10,199,0,0,10,0,209,1,1,3,12,2412,11.54066985645933,0,0,0.0,4.784688995215311,4.784688995215311,398
6,cust_id1,int64,209,209,0,0,0,209,0,0,0,0,209,1,1,4,4,836,4.0,0,0,0.0,100.0,100.0,0
7,first_name1,object,209,207,2,0,0,209,0,1,4,0,209,1,1,1,10,1255,6.0047846889952154,0,0,0.0,0.0,100.0,0
8,last_name1,object,209,209,0,0,0,209,0,1,6,0,209,1,1,1,13,1396,6.679425837320574,0,0,0.0,0.0,100.0,0
9,zip.1,int64,209,201,8,0,0,209,0,0,0,0,209,1,1,3,5,1011,4.837320574162679,0,0,0.0,100.0,100.0,0
10,phone1.1,object,209,209,0,0,0,209,0,0,0,0,209,1,1,10,12,2501,11.966507177033494,0,0,0.0,0.0,0.0,418
11,country,object,209,117,92,0,0,209,0,0,0,37,172,1,3,3,20,1669,7.985645933014354,0,0,0.0,0.0,80.38277511961722,4
12,state,object,209,35,174,0,0,209,0,209,0,0,209,1,1,2,5,421,2.014354066985646,0,0,0.0,0.0,100.0,0
13,new_id3,int64,209,209,0,0,0,209,0,0,0,0,209,1,1,4,4,836,4.0,0,0,0.0,100.0,100.0,0
14,new_zip,int64,209,201,8,0,0,209,0,0,0,0,209,1,1,3,5,1011,4.837320574162679,0,0,0.0,100.0,100.0,0
