,Correct_zip_code
0,70116
1,48116
2,8014
3,99501
4,45011
5,44805
6,60632
7,95111
8,57105
9,21224
10,19443
11,11953
12,90034
13,44023
14,78045
15,85013
16,37110
17,53207
18,48180
19,61109
20,19014
21,95111
22,75062
23,12204
24,8846
25,54481
26,66218
27,21601
28,12345
29,77301
30,43215
31,88011
32,7660
33,8812
34,10025
35,70002
36,10011
37,93012
38,78204
39,67410
40,97754
41,66204
42,99708
43,33196
44,99712
45,55343
46,2128
47,90006
48,53711
49,19132
50,10003
51,37388
52,29201
53,19087
54,8822
55,11590
56,19046
57,91405
58,2909
59,19006
60,2904
61,8831
62,78731
63,80126
64,53214
65,10009
66,99515
67,16502
68,21061
69,83707
70,94104
71,27514
72,94070
73,94520
74,43140
75,14895
76,21215
77,7105
78,60647
79,7104
80,88101
81,10309
82,32254
83,94545
84,44122
85,76040
86,90247
87,60201
88,19106
89,94010
90,91776
91,76708
92,99501
93,95110
94,94577
95,46202
96,82901
97,22102
98,70112
99,80303
100,94577
101,96817
102,55337
103,27263
104,11563
105,97224
106,53511
107,1602
108,33133
109,16502
110,75149
111,37388
112,7501
113,33030
114,21117
115,91362
116,96819
117,31701
118,2210
119,7601
120,94403
121,91761
122,94606
123,12180
124,18411
125,7050
126,8867
127,32922
128,10468
129,96782
130,80231
131,7866
132,8201
133,7062
134,2346
135,60638
136,97202
137,75227
138,60604
139,45840
140,92501
141,76707
142,37211
143,53216
144,21655
145,75061
146,90212
147,11758
148,8401
149,45203
150,97401
151,27577
152,10002
153,85017
154,46240
155,13214
156,8002
157,11530
158,72202
159,55101
160,19134
161,70360
162,11779
163,95827
164,83704
165,78664
166,19123
167,96720
168,89502
169,60090
170,7869
171,29301
172,21074
173,10553
174,10011
175,94710
176,1742
177,94104
178,7652
179,94561
180,60623
181,7009
182,43551
183,90248
184,34448
185,95054
186,18201
187,7304
188,94583
189,8807
190,11716
191,91362
192,8876
193,97005
194,97302
195,8077
196,30135
197,32216
198,4401
199,76060
200,14228
201,33054
202,10038
203,19103
204,32536
205,94107
206,95132
207,94080
